Label,Label2,Question
0,+,How many tons of material did the company buy in all ?
0,,How many tons of material did the company buy in all ?
0,+,How many tons of material did the company order in all ?
0,,How many tons of material did the company order in all ?
0,+,How many total centimeters of snow did Logan record ?
0,,How many total centimeters of snow did Logan record ?
1,all,How many toucans in all ?
0,+,how many towels did Maria end up with ? .
0,+,how many towels did Maria end up with ? .
0,,how many trees will he have ? .
1,all,How many truck-loads of material were needed in all ?
1,all,How many truck-loads of material were needed in all ?
0,,How many trucks did Sarah have to start with ?
1,all,How many turnips did they grow in all ?
1,all,How many turnips did they grow in all ?
1,all,How many turnips did they grow in all ?
1,all,How many turnips did they grow in all ?
1,all,How many turnips did they grow in total ?
0,,How many unbroken seashells did Dan find ?
0,+,How many unbroken seashells did Mike find ?
0,+,How many unbroken seashells did Tom find ?
0,,How many unbroken seashells did Tom find ?
0,,How many Valentines did Mrs. Franklin give to her students ?
0,,How many violet balloons does he now have ?
0,+,How many violet balloons does Jason have now ?
0,+,How many violet marbles does he now have ?
0,+,How many walnut trees did the workers plant today ?
0,+,How many walnut trees will be in the park when the workers are finished ?
0,,How many walnut trees will the park have when the workers are finished ?
0,+,How many walnut trees will the park have when the workers are finished ?
0,,How many walnut trees will the park have when the workers are finished ?
0,,How many walnut trees will the park have when the workers are finished ?
0,,How many walnut trees will the park have when the workers are finished ?
1,all,How many watermelons did they grow in total ?
1,all,How many watermelons did they grow in total ?
1,all,How many watermelons did they grow in total ?
1,all,How many watermelons did they grow in total ?
0,+,How many watermelons does Jessica have ?
0,+,How many watermelons does Sam have ?
0,,How many watermelons does Sam have left ?
1,all,how many were blue ? .
0,,How many whistles does Charles have ?
0,,How many whistles does Charles have ?
0,,How many whistles does Charles have ?
0,,how many worksheets would she have to grade ? .
0,,how many worksheets would she have to grade ? .
0,,how many worksheets would she have to grade ? .
0,,how many worksheets would she have to grade ? .
0,,how many worksheets would she have to grade ? .
0,,how many would be in the bin ?
0,,how many would he have ? .
0,,how many would she have total ? .
0,,how many would she have total ? .
0,,how many would she have total ? .
0,,How many yards of silk did it dye for that order ?
1,all,How many yellow balloons do they have in total ?
1,all,How many yellow balloons do they have in total ?
1,all,How many yellow marbles do they have in all ?
1,all,How many yellow marbles do they have in all ?
1,all,How many yellow marbles do they have in all ?
1,all,How many yen do they have ?
1,all,How many yen do they have ?
1,all,How much cake is left over after that ?
0,-,How much cement did Roadster 's Paving Company use in all ?
0,,How much cement did Roadster 's Paving Company use in all ?
0,,How much change did he receive from the purchase ?
0,,How much change did Joan receive ?
0,,How much change will Adam get ?
0,,How much change will he get ?
0,,How much change will he get ?
0,,How much change will she get ?
0,-,How much did Dan spend at the music store ?
0,-,how much did he spent on the baseball gear ? .
0,-,how much did he spent on the baseball gear ? .
0,+,How much did it rain in April ?
0,,How much did it rain in April ?
1,all,How much did it rain on Saturday and Sunday combined ?
1,all,How much did it rain on Saturday and Sunday combined ?
0,+,How much did it rain on Tuesday ?
0,,How much did it rain on Tuesday ?
1,all,How much did it snow on Monday and Tuesday combined ?
0,,How much did Jason spend at the music store ?
0,-,How much did Joan spend at the music store ?
0,-,How much did Joan spend on video games ?
0,,How much did Joan spend on video games ?
0,-,How much did Melanie spend on video games ?
0,-,How much did Mike spend at the music store ?
0,,How much did Mike spend at the music store ?
0,,How much did she sharpen off of her pencil ?
1,all,How much did she spend in all for the two toys ?
1,all,How much did the 2 pumpkins weigh all together ?
1,all,How much did the two pumpkins weigh all together ?
0,-,How much did Tom spend on video games ?
0,,How much did Tom spend on video games ?
0,,How much extra food is needed to feed the second cat ?
0,,How much extra food is needed to feed the second cat ?
0,,How much farther did Craig ride than walk ?
0,,How much farther did Craig ride than walk ?
0,,How much farther did Darnel sprint than jog ?
0,,How much farther did Darnel sprint than jog ?
0,,How much farther did Eve run than walk ?
0,,How much farther did Eve run than walk ?
0,,How much farther did Jenny run than walk ?
0,,How much farther did Jenny run than walk ?
0,,How much farther did Stanley run than walk ?
0,,How much farther did Wendy run than walk ?
0,,How much farther did Wendy run than walk ?
0,,How much farther does John walk than Nina ?
0,-,How much fruit is left ?
1,all,How much fruit is left ?
0,,How much gas did Michelle use ?
0,,How much hair did she grow ?
0,-,How much hair did she have cut off in all ?
0,,How much hair did she have cut off in all ?
0,,How much heavier is Anne than Douglas ?
0,,How much heavier is Bridget than Martha ?
0,,How much heavier is Donna than Willie ?
0,,How much heavier is Heather than Emily ?
0,,How much heavier is Heather than Emily ?
0,,How much heavier is Jessica than Thomas ?
0,,How much heavier is John than Roy ?
0,,How much heavier is Mildred than Carol ?
0,-,How much honey remains ?
1,all,How much honey remains ?
0,+,how much is it worth now ? .
0,,How much longer is Oscar 's bus ride than Charlie 's ?
0,,How much longer is Vince 's bus ride than Zachary 's ?
0,,How much longer is Vince 's bus ride than Zachary 's ?
0,,How much longer was the first fish ?
0,,How much longer was the first fish ?
0,,How much longer was the green caterpillar than the orange caterpillar ?
0,,How much longer was the green caterpillar than the orange caterpillar ?
0,,How much longer was the longer worm ?
0,,How much longer was the longer worm ?
0,,How much longer was the white line than the blue line ?
0,,How much longer was the white line than the blue line ?
1,all,How much milk did they drink in all ?
0,,How much money did Chris have before his birthday ?
0,+,how much money did he end up with ? .
0,+,how much money did he end up with ? .
0,+,How much money did he make washing cars ?
0,,How much money did he make washing cars ?
0,,How much money did Sandy get in change ?
0,-,How much money did Sandy spend on clothes ?
0,,How much money did Sandy spend on clothes ?
0,,How much money did she have before buying the pie ?
0,,How much money did she have left ?
0,+,How much money did Tim make washing cars ?
0,+,How much money does he have now ?
0,+,How much money does he have now ?
0,+,How much money does he have now ?
0,+,How much money does he have now ?
0,+,How much money does he have now ?
0,,How much money does he have now ?
0,,how much money does he have now ? .
0,,how much money does he have now ? .
0,,how much money does he have now ? .
0,,How much money does Tanner have left ?
1,all,How much money is left ?
0,,How much money was in the account before the transfer ?
1,all,How much money was in the account before the transfer ?
0,,how much money would he have ? .
0,,how much money would he have ? .
0,,How much more baking powder did Kelly have yesterday ?
0,,How much more baking powder did Kelly have yesterday ?
0,,How much more brown sugar did Victor use ?
0,,How much more brown sugar did Victor use ?
0,,How much more cinnamon than nutmeg did Mandy use ?
0,,How much more did the piece of iron weigh than the piece of aluminum ?
0,,How much more did the piece of iron weigh than the piece of aluminum ?
0,,How much more did the tailor cut off the skirt than the pants ?
0,,How much more did the tailor cut off the skirt than the pants ?
0,,How much more did the yellow block weigh than the green block ?
0,,How much more does the chemistry textbook weigh than the geometry textbook ?
0,,How much more does the chemistry textbook weigh than the geometry textbook ?
0,,How much more flour than sugar did Dina use ?
0,,How much more flour than sugar did Dina use ?
0,,How much more money does he need ?
0,,How much more money does Jonathan need to buy all three books ?
0,,How much more pie did Erik eat than Frank ?
0,,How much more pie did Erik eat than Frank ?
0,,How much more snow did Mrs. Hilt 's house have ?
0,,how much of Isabella 's hair got cut off ? .
0,+,how much oil will be in the measuring cup ? .
1,all,how much oil will be in the measuring cup ? .
0,+,How much pepper does Brennan have ?
0,,How much pepper does Brennan have left ?
0,,How much pizza do you have altogether ?
0,+,How much sand does the truck have when it arrives at the yard ?
0,,How much sand does the truck have when it arrives at the yard ?
1,all,How much soda did they drink in all ?
1,all,How much soda did they drink in all ?
1,all,How much sugar is left ?
0,-,How much sugar is remaining ?
1,all,How much sugar is that altogether ?
0,,How much taller is the new lamp than the old lamp ?
0,,How much taller is the new lamp than the old lamp ?
0,,How much taller was Janet 's sandcastle than her sister 's ?
0,,How much taller was Janet 's sandcastle than her sister 's ?
0,,How much taller was Miki 's sandcastle than her sister 's ?
0,,How much taller was Miki 's sandcastle than her sister 's ?
0,+,How much water did Sam pour into the pool ?
0,,How much water did Sam pour into the pool ?
0,-,How much water had leaked out of the bucket ?
0,,How much water had leaked out of the bucket ?
0,+,How much water is in the bucket ?
0,,How much water is left in the bucket ?
0,+,How tall is Tori now ?
0,,How tall is Tori now ?
0,+,In all how many ear muffs do the customers buy ? .
0,,In all how many ear muffs do the customers buy ? .
1,all,In all how many liters of oil leaked into the water ? .
1,all,In all how many liters of oil leaked into the water ? .
1,all,In all how many passengers landed in Newberg last year ? .
0,-,In total how much did Alyssa spend on toys ? .
0,,In total how much did Alyssa spend on toys ? .
0,-,In total how much did Joan spend on toys ? .
0,-,In total how much did Mike spend on car parts ? .
0,-,In total how much did Mike spend on toys ? .
0,,In total how much did Mike spend on toys ? .
0,-,In total how much did Tom spend on toys ? .
0,-,In total how much money did Alyssa spend ? .
0,,In total how much money did Alyssa spend ? .
0,-,In total how much money did Jason spend on clothing ? .
0,,In total how much money did Jason spend on clothing ? .
0,-,In total how much money did Joan spend on clothing ? .
0,-,In total how much money did Sally spend ? .
0,-,In total how much money did she spend ? .
0,,In total how much money did she spend ? .
1,all,Together how much dog food do the 2 dogs eat each day ? .
1,all,Together how much dog food do the two dogs eat each day ? .
0,,What amount of money did Tony have then ?
1,all,What fraction of the apartments are either 1 - two-bedroom apartments ?
1,all,What fraction of the apartments are either 1 - two-bedroom apartments ?
0,,What fraction of the garments are either bikinis or trunks .
1,all,What fraction of the nails are either size 2d or 4d.
1,all,What fraction of the students in the band are in either trumpet section or the trombone section ?
1,all,What fraction of the students in the band are in either trumpet section or the trombone section ?
1,all,What fraction of the students received either A 's or B 's ?
1,all,What fraction of the students received either A 's or B 's ?
1,all,What is the sum of our popsicle sticks ?
0,,What is the total number of egg rolls Omar and Karen rolled ?.
0,,What is the total number of goals Jorge scored ?
0,,What is the total number of miles Darius and Julia drove ?
0,,What is the total number of reading materials she sold ?
1,all,What was the total amount of snowfall ?
1,all,What was the total amount of snowfall ?
0,-,What was the total cost of Dan 's purchases ?
0,-,What was the total cost of Jessica 's purchases ?
0,,What was the total cost of Jessica 's purchases ?
0,-,What was the total cost of Keith 's purchases ?
1,all,What was the total of the lunch bill ?
1,all,What was the total of the lunch bill ?
1,all,What was the total of the lunch bill ?
1,all,What was the total weight of the plastic rings ?
1,all,What was the total weight of the plastic rings ?
1,all,what will the scale read ?
1,all,what will the scale read ?
