Label,Question
,How many candies does Lillian have ?
,How many bottle caps does William have in all ?
,How many apples are there in the pile ?
,How many apples does Sean have in all ?
,How many candies are there in the pile ?
,How many Skittles does Kimberly have in all ?
,How many oranges does Clarence have in all ?
,How many apples are there in the pile ?
,How many Skittles does Kimberly have in all ?
,How many apples does Annie have in all ?
,How many bananas are there in the pile ?
,How many marbles does Kenneth have in all ?
,How many cards does Aaron end with ?
,How many tickets does Ernest end with ?
,How many crayons does Diane have in all ?
,How many blocks does Ann end with ?
,How many blocks does Martha end with ?
,How many bottle caps does Anne end with ?
,How many marbles does Evelyn have in all ?
,How many bananas does David have in all ?
,How many cards does Emily have ?
,How many apples are left in the box ?
,How many eggs will Bruce have ?
,How many erasers are left in the box ?
,How many erasers are left in the box ?
,How many candies are left in the box ?
,How many Skittles will Brandon have ?
,How many crayons will Theresa have ?
,How many apples will Craig have ?
,How much heavier is Heather than Emily ?
,How much heavier is Heather than Emily ?
,How many blocks does Mildred end with ?
,How many blocks does Mildred end with ?
,How many birds are sitting on the fence ?
,How many more crickets do you need to collect ?
,How many more birds are there than nests ?
,How many owls are on the fence now ?
,How many beavers are still working on their home ?
,How many toucans in all ?
,How many more squirrels are there than nuts ?
,How much did she spend in all for the two toys ?
,How much more snow did Mrs. Hilt 's house have ?
,How much money did she have left ?
,How many balloons did she blow up in all ?
,How many pieces of litter did they pick up altogether ?
,How many gold stars did Carson earn in all ?
,How many students are left on the bus ?
,How many packs of groceries did she buy in all ?
,How many fish did he buy ?
,How many pupils are there in that school ?
,How many candies do they have in all ?
,What is the sum of our popsicle sticks ?
,What is the total number of reading materials she sold ?
,How many birds are on the fence ?
,How many boys went down the slide ?
,How many ducks are swimming in the lake ?
,How many pieces of candy did Bobby eat ?
,How many pet fish does Sandy have now ?
,How many balloons does the clown have now ?
,How many books did our class get from the library ?
,How many apples does Tessa have now ?
,how long will it be ? .
,How many cats does Mrs. Sheridan have altogether ?
,How many fish does she have now ?
,How many does he have left ?
,How many more cookies does Aiyanna have than Alyssa ?
,How many meatballs did Kirsten steal ?
,how much of Isabella 's hair got cut off ? .
,How much hair did she grow ?
,How many pounds did she add ?
,How much did she sharpen off of her pencil ?
,How many more cats does Mrs. Sheridan need ?
,How many more cats does Mrs. Garrett have than Mrs. Sheridan ?
,How many does she have left ?
,How many Valentines did Mrs. Franklin give to her students ?
,How many more red roses does Mrs. Santiago have than Mrs. Garrett ?
,How many birds were there altogether in the tree ?
,How many more flew up to the tree ?
,How many cookies did they have altogether ?
,How many children got on the bus at the bus stop ?
,How many more dollars does she have to earn ?
,How many children were there in all ?
,How many birds were there in all ?
,How many strawberries did he have then ?
,How many more books does Bobby have than Kristi ?
,How many balloons did Tommy have to start with ?
,How many pieces of drawing paper does she have ?
,How many of her leaves blew away ?
,How many baseball cards does Carter have ?
,How many green shirts does Gavin have ?
,How many presents does Alissa have ?
,How many stickers did Pat have at the end of the week ?
,How many more apples does Kelly need to pick ?
,How many pieces did Todd have to start with ?
,How many pencils does Josh have left ?
,How many trucks did Sarah have to start with ?
,How many markers does Megan have altogether ?
,How many did she start with ?
,How many does she need to give away ?
,How many did she have to start with ?
,How many markers does she have altogether ?
,How many books about sports does Iesha have ?
,How many more balloons does James have than Amy ?
,How many whistles does Charles have ?
,How many marbles does Juan have ?
,How many pigs came to join them ?
,How many flowers did Andre give to Rosa ?
,How many did he have to add ?
,How many marbles does he have now ?
,How many more seashells does she need to find ?
,How many more rocks does she need to complete the border ?
,How many miles did they have left to drive ?
,How many more points did Zach score ?
,How much change will he get ?
,how many trees will he have ? .
,How much money is left ?
,How many does Charlie have ?
,How many blocks are left ?
,How many more does Bryan have ?
,How many more fly up to the tree ?
,How many children got on the bus at the bus stop ?
,How many dollars does she have to earn ?
,How many more dollars does she have to earn ?
,How many stickers did James get for his birthday ?
,How many children were on the playground at recess ?
,How many birds were in the marsh ?
,How many strawberries did he have then ?
,How many more muffins does Arthur have to bake ?
,How many peanuts does Kenya have ?
,How many more DVDs can be put in the book ?
,How many does she need to give away so that ?
,How many markers does she have altogether ?
,How many books about sports does Iesha have ?
,How many whistles does Charles have ?
,How much change will he get ?
,How many people live in Milburg ?
,how many were blue ? .
,How many apples does he have now ?
,How many people were at the second concert ?
,how many pies will she have ? .
,How many fish would Lucy have then ?
,How many more fish does she need to buy ?
,How many times did they jump altogether ?
,How many fleas perished ?
,How many more bags of dog food are there than cat food ?
,How many bones did he start with ?
,how many dolls would they have ? .
,How many get well cards did Mariela get ?
,What is the total number of goals Jorge scored ?
,How many pages does he have left to read ?
,What is the total number of egg rolls Omar and Karen rolled ?.
,How many more miles did Beka fly than Jackson ?
,What is the total number of miles Darius and Julia drove ?
,How many pieces of paper does she have left ?
,How many miles had she traveled ?
,How much pizza do you have altogether ?
,How much sugar is that altogether ?
,How much cake is left over after that ?
,How far did you walk altogether ?
,How much more money does he need ?
,How much change will she get ?
,How much farther does John walk than Nina ?
